system_id,year,date,centroid_lat,centroid_lon
m_4612201_sw_10_060_20191010,2019,2019-10-10T00:00:00,46.90628429416659,-122.96872176130172
m_4612209_nw_10_060_20191010,2019,2019-10-10T00:00:00,46.84375950150282,-122.96872268006821
m_4612209_sw_10_060_20191010,2019,2019-10-10T00:00:00,46.78128802084037,-122.96875884823348
m_4612217_nw_10_060_20191010,2019,2019-10-10T00:00:00,46.718761835779226,-122.96875966598702
m_4612217_sw_10_060_20191010,2019,2019-10-10T00:00:00,46.65625927285688,-122.96874861742141
m_4612225_nw_10_060_20191010,2019,2019-10-10T00:00:00,46.59376144088383,-122.9687493211768
m_4612225_sw_10_060_20191010,2019,2019-10-10T00:00:00,46.53128722949288,-122.96874991703542
m_4612233_nw_10_060_20191010,2019,2019-10-10T00:00:00,46.46875829871132,-122.96873886047042
m_4612233_sw_10_060_20191010,2019,2019-10-10T00:00:00,46.406282718579234,-122.96873942609832
m_4612241_nw_10_060_20191010,2019,2019-10-10T00:00:00,46.343752409946156,-122.96874003367014
m_4612241_sw_10_060_20191010,2019,2019-10-10T00:00:00,46.28127544902956,-122.9687288473418
m_4612249_nw_10_060_20191010,2019,2019-10-10T00:00:00,46.21876807341694,-122.96872928571993
m_4612249_sw_10_060_20191010,2019,2019-10-10T00:00:00,46.156265420398185,-122.96872976908286
m_4612257_nw_10_060_20191010,2019,2019-10-10T00:00:00,46.09375668108526,-122.96871854351988
m_4612301_ne_10_060_20191030,2019,2019-10-30T00:00:00,46.96876251781088,-123.90627354300462
m_4612301_nw_10_060_20190930,2019,2019-09-30T00:00:00,46.96876628885106,-123.96878645129335
m_4612301_se_10_060_20191030,2019,2019-10-30T00:00:00,46.90626207307185,-123.90628707784956
m_4612301_sw_10_060_20190930,2019,2019-09-30T00:00:00,46.90626570295335,-123.96880604872979
m_4612302_ne_10_060_20191030,2019,2019-10-30T00:00:00,46.96876862191008,-123.78125999981393
m_4612302_nw_10_060_20191030,2019,2019-10-30T00:00:00,46.96877854172429,-123.84377284086733
m_4612302_se_10_060_20191030,2019,2019-10-30T00:00:00,46.90626573913867,-123.78126135297366
m_4612302_sw_10_060_20191030,2019,2019-10-30T00:00:00,46.90625404300477,-123.84376813557145
m_4612303_ne_10_060_20191030,2019,2019-10-30T00:00:00,46.968767605003535,-123.65627811572433
m_4612303_nw_10_060_20191030,2019,2019-10-30T00:00:00,46.96877044907636,-123.71874735688488
m_4612303_se_10_060_20191030,2019,2019-10-30T00:00:00,46.90627281166882,-123.65630279846657
m_4612303_sw_10_060_20191030,2019,2019-10-30T00:00:00,46.906275559448545,-123.71877820526336
m_4612304_ne_10_060_20191030,2019,2019-10-30T00:00:00,46.96877055654687,-123.53130043585855
m_4612304_nw_10_060_20191030,2019,2019-10-30T00:00:00,46.968754973649375,-123.59381274807825
m_4612304_se_10_060_20191030,2019,2019-10-30T00:00:00,46.906267936223315,-123.53127737001317
m_3712201_nw_10_060_20200602,2020,2020-06-02T00:00:00,37.968770467394705,-122.96875033500045
m_3712217_nw_10_060_20200602,2020,2020-06-02T00:00:00,37.71876394927852,-122.9687535412815
m_3712308_ne_10_060_20200602,2020,2020-06-02T00:00:00,37.968770453992214,-123.03125420781518
m_3712316_sw_10_060_20200602,2020,2020-06-02T00:00:00,37.78126858893062,-123.093759215695
m_3712324_ne_10_060_20200602,2020,2020-06-02T00:00:00,37.7187639385388,-123.03128845779887
m_3812201_nw_10_060_20200604,2020,2020-06-04T00:00:00,38.96876542693063,-122.96873129857796
m_3812201_sw_10_060_20200604,2020,2020-06-04T00:00:00,38.906261991600765,-122.9687587239759
m_3812209_nw_10_060_20200604,2020,2020-06-04T00:00:00,38.84375785477456,-122.9687549951304
m_3812209_sw_10_060_20200602,2020,2020-06-02T00:00:00,38.78128549348155,-122.96874079485042
m_3812217_nw_10_060_20200602,2020,2020-06-02T00:00:00,38.71878004111272,-122.96873701229048
m_3812217_sw_10_060_20200602,2020,2020-06-02T00:00:00,38.65627387949436,-122.96873315818173
m_3812225_nw_10_060_20200602,2020,2020-06-02T00:00:00,38.593767100471986,-122.96876030019193
m_3812225_sw_10_060_20200602,2020,2020-06-02T00:00:00,38.53125963855671,-122.96874605077642
m_3812233_nw_10_060_20200602,2020,2020-06-02T00:00:00,38.46875149628414,-122.96874209241018
m_3812233_sw_10_060_20200602,2020,2020-06-02T00:00:00,38.4062643334363,-122.96873810426692
m_3812241_nw_10_060_20200602,2020,2020-06-02T00:00:00,38.343787272813586,-122.96876496934458
m_3812241_sw_10_060_20200602,2020,2020-06-02T00:00:00,38.28127712353439,-122.96875061233199
m_3812249_nw_10_060_20200602,2020,2020-06-02T00:00:00,38.218766331056756,-122.96874654782201
m_3812249_sw_10_060_20200602,2020,2020-06-02T00:00:00,38.156254805977866,-122.96874241965871
m_3812257_nw_10_060_20200602,2020,2020-06-02T00:00:00,38.0937643147269,-122.96872798156352
m_3812257_sw_10_060_20200602,2020,2020-06-02T00:00:00,38.031283931344575,-122.96875454548281
m_3812303_ne_10_060_20200608,2020,2020-06-08T00:00:00,38.96876261159549,-123.65627112282525
m_3812303_nw_10_060_20200608,2020,2020-06-08T00:00:00,38.968772816630825,-123.71878108172841
m_3812303_se_10_060_20200608,2020,2020-06-08T00:00:00,38.90625993382863,-123.6562868920115
m_3812303_sw_10_060_20200608,2020,2020-06-08T00:00:00,38.90627048158968,-123.71877316214525
m_3812304_ne_10_060_20200608,2020,2020-06-08T00:00:00,38.96875258931889,-123.53126121720146
m_3812304_nw_10_060_20200608,2020,2020-06-08T00:00:00,38.96875131662667,-123.59377137595293
m_3812304_se_10_060_20200602,2020,2020-06-02T00:00:00,38.90624958965032,-123.53127942871942
m_3812304_sw_10_060_20200608,2020,2020-06-08T00:00:00,38.90624861934799,-123.5937624568625
m_3812305_ne_10_060_20200604,2020,2020-06-04T00:00:00,38.968738238088406,-123.40627848363054
m_4512001_nw_10_060_20210702_20211220,2021,2021-07-02T00:00:00,45.96875585723009,-120.96876260975414
m_4512001_sw_10_060_20210702_20211220,2021,2021-07-02T00:00:00,45.90627358416977,-120.96876545601505
m_4512009_nw_10_060_20210702_20211220,2021,2021-07-02T00:00:00,45.84376831163606,-120.96872427592223
m_4512009_sw_10_060_20210702_20211220,2021,2021-07-02T00:00:00,45.78125217214418,-120.96871194016781
m_4512017_nw_10_060_20210702_20211220,2021,2021-07-02T00:00:00,45.718768721917534,-120.96875002883694
m_4512017_sw_10_060_20210702_20211220,2021,2021-07-02T00:00:00,45.65628447967783,-120.96877793226776
m_4512104_ne_10_060_20210704_20211220,2021,2021-07-04T00:00:00,45.96876090750008,-121.53124690010563
m_4512104_nw_10_060_20210704_20211220,2021,2021-07-04T00:00:00,45.9687613673239,-121.59373666866365
m_4512104_se_10_060_20210704_20211220,2021,2021-07-04T00:00:00,45.90624979551066,-121.53127224074976
m_4512104_sw_10_060_20210704_20211220,2021,2021-07-04T00:00:00,45.90625802977309,-121.59373413360399
m_4512105_ne_10_060_20210704_20220120,2021,2021-07-04T00:00:00,45.96875977537286,-121.40624783081377
m_4512105_nw_10_060_20210704_20220120,2021,2021-07-04T00:00:00,45.96875047922001,-121.46874964789988
m_4512105_se_10_060_20210704_20220120,2021,2021-07-04T00:00:00,45.90627806006506,-121.40625804386477
m_4512105_sw_10_060_20210704_20220120,2021,2021-07-04T00:00:00,45.90626829761495,-121.46872061617731
m_4512106_ne_10_060_20210704_20220120,2021,2021-07-04T00:00:00,45.96878067031606,-121.28121686971357
m_4512106_nw_10_060_20210704_20220120,2021,2021-07-04T00:00:00,45.96876464065543,-121.34375000196259
m_4512106_se_10_060_20210704_20220120,2021,2021-07-04T00:00:00,45.90624513443088,-121.28124543440852
m_4512106_sw_10_060_20210704_20220120,2021,2021-07-04T00:00:00,45.90628227709168,-121.34371827262152
m_4512107_ne_10_060_20210704_20220120,2021,2021-07-04T00:00:00,45.96875157719821,-121.15621815907889
m_4512107_nw_10_060_20210704_20220120,2021,2021-07-04T00:00:00,45.96877159957837,-121.21875028268897
m_4512107_se_10_060_20210704_20220120,2021,2021-07-04T00:00:00,45.90626985173762,-121.15624244015864
m_4512107_sw_10_060_20210704_20220120,2021,2021-07-04T00:00:00,45.90625970279903,-121.21874004191653
m_4512108_ne_10_060_20210702_20220120,2021,2021-07-02T00:00:00,45.96877001823111,-121.03126408624314
m_4512108_nw_10_060_20210704_20220120,2021,2021-07-04T00:00:00,45.968782290347214,-121.0937617456512
m_4512108_se_10_060_20210702_20220120,2021,2021-07-02T00:00:00,45.906265556883206,-121.03122848051717
m_4512108_sw_10_060_20210704_20220120,2021,2021-07-04T00:00:00,45.90626998313447,-121.0937373101929
m_4512112_ne_10_060_20210704_20220120,2021,2021-07-04T00:00:00,45.84376710499989,-121.53124860050086
m_4512112_nw_10_060_20210704_20220120,2021,2021-07-04T00:00:00,45.84377565848855,-121.5937293529774
m_4512112_se_10_060_20210704_20220120,2021,2021-07-04T00:00:00,45.78128394135189,-121.53123490485794
m_4512112_sw_10_060_20210704_20220120,2021,2021-07-04T00:00:00,45.78126005070917,-121.59371217553357
m_3712201_nw_10_060_20220519,2022,2022-05-19T00:00:00,37.968770467394705,-122.96875033500045
m_3712217_nw_10_060_20220520,2022,2022-05-20T00:00:00,37.71876394927852,-122.9687535412815
m_3712308_ne_10_060_20220519,2022,2022-05-19T00:00:00,37.968770453992214,-123.03125420781518
m_3712316_sw_10_060_20220520,2022,2022-05-20T00:00:00,37.78126858893062,-123.093759215695
m_3712324_ne_10_060_20220520,2022,2022-05-20T00:00:00,37.7187639385388,-123.03128845779887
m_3812201_nw_10_060_20220520,2022,2022-05-20T00:00:00,38.96876542693063,-122.96873129857796
m_3812201_sw_10_060_20220520,2022,2022-05-20T00:00:00,38.906261991600765,-122.9687587239759
m_3812209_nw_10_060_20220520,2022,2022-05-20T00:00:00,38.84375785477456,-122.9687549951304
m_3812209_sw_10_060_20220520,2022,2022-05-20T00:00:00,38.78128549348155,-122.96874079485042
m_3812217_nw_10_060_20220520,2022,2022-05-20T00:00:00,38.71878004111272,-122.96873701229048
m_3812217_sw_10_060_20220520,2022,2022-05-20T00:00:00,38.65627387949436,-122.96873315818173
m_3812225_nw_10_060_20220520,2022,2022-05-20T00:00:00,38.593767100471986,-122.96876030019193
m_3812225_sw_10_060_20220520,2022,2022-05-20T00:00:00,38.53125963855671,-122.96874605077642
m_3812233_nw_10_060_20220520,2022,2022-05-20T00:00:00,38.46875149628414,-122.96874209241018
m_3812233_sw_10_060_20220520,2022,2022-05-20T00:00:00,38.4062643334363,-122.96873810426692
m_3812241_nw_10_060_20220520,2022,2022-05-20T00:00:00,38.343787272813586,-122.96876496934458
m_3812241_sw_10_060_20220520,2022,2022-05-20T00:00:00,38.28127712353439,-122.96875061233199
m_3812249_nw_10_060_20220519,2022,2022-05-19T00:00:00,38.218766331056756,-122.96874654782201
m_3812249_sw_10_060_20220519,2022,2022-05-19T00:00:00,38.156254805977866,-122.96874241965871
m_3812257_nw_10_060_20220519,2022,2022-05-19T00:00:00,38.0937643147269,-122.96872798156352
m_3812257_sw_10_060_20220519,2022,2022-05-19T00:00:00,38.031283931344575,-122.96875454548281
m_3812303_ne_10_060_20220521,2022,2022-05-21T00:00:00,38.96876261159549,-123.65627112282525
m_3812303_nw_10_060_20220521,2022,2022-05-21T00:00:00,38.968772816630825,-123.71878108172841
m_3812303_se_10_060_20220521,2022,2022-05-21T00:00:00,38.90625993382863,-123.6562868920115
m_3812303_sw_10_060_20220521,2022,2022-05-21T00:00:00,38.90627048158968,-123.71877316214525
m_3812304_ne_10_060_20220521,2022,2022-05-21T00:00:00,38.96875258931889,-123.53126121720146
m_3812304_nw_10_060_20220521,2022,2022-05-21T00:00:00,38.96875131662667,-123.59377137595293
m_3812304_se_10_060_20220521,2022,2022-05-21T00:00:00,38.90624958965032,-123.53127942871942
m_3812304_sw_10_060_20220521,2022,2022-05-21T00:00:00,38.90624861934799,-123.5937624568625
m_3812305_ne_10_060_20220521,2022,2022-05-21T00:00:00,38.968738238088406,-123.40627848363054
